"longitude","latitude"
91.9375,22.4375
92.8791666666667,22.7208333333333
91.6541666666667,22.6625
92.1541666666667,21.8458333333333
92.7208333333333,21.7791666666667
92.3791666666667,21.4541666666667
92.5625,21.2625
92.0791666666667,22.6875
91.9125,22.3041666666667
92.9125,20.2291666666667
91.7208333333333,22.5041666666667
92.2541666666667,22.0625
92.6208333333333,21.6291666666667
91.9708333333333,22.7208333333333
91.6791666666667,22.8875
92.6791666666667,21.4791666666667
92.0875,22.9708333333333
92.0791666666667,21.2291666666667
91.9208333333333,21.5291666666667
91.8458333333333,22.5458333333333
92.4125,21.1708333333333
92.6041666666667,22.6625
92.6041666666667,21.9291666666667
91.0958333333333,22.2541666666667
91.9125,21.7708333333333
92.4958333333333,21.5208333333333
92.6458333333333,22.4041666666667
92.1208333333333,22.5041666666667
92.6958333333333,22.2791666666667
91.9208333333333,21.8375
